Zeit;Kanal A
(ms);(mV)

-22,30499912;3,57344961
-22,29999912;3,76168776
-22,29499912;3,94992590
-22,28999912;3,57344961
-22,28499912;3,38582659
-22,27999912;3,94992590
-22,27499912;3,19758844
-22,26999912;3,57344961
-22,26499912;3,00935030
-22,25999912;3,19758844
-22,25499912;2,82111216
-22,24999912;1,88053632
-22,24499912;2,25701261
-22,23999912;1,88053632
-22,23499912;1,12819874
-22,22999912;0,56409937
-22,22499912;1,88053632
-22,21999912;0,93996060
-22,21499912;1,12819874
-22,20999912;0,37586120
-22,20499912;1,50467515
-22,19999912;0,00000000
-22,19499912;0,18762302
-22,18999912;-0,37586120
-22,18499912;0,56409937
-22,17999912;-0,37586120
-22,17499912;0,18762302
-22,16999912;-0,37586120
-22,16499912;-1,12819874
-22,15999912;-1,31643701
-22,15499912;-1,31643701
-22,14999912;-1,50467515
-22,14499912;-2,25701261
-22,13999912;-2,06877446
-22,13499912;-2,82111216
-22,12999912;-3,19758844
-22,12499912;-3,00935030
-22,11999912;-3,38582659
-22,11499912;-3,19758844
-22,10999912;-3,19758844
-22,10499913;-3,00935030
-22,09999913;-2,63348913
-22,09499913;-2,06877446
-22,08999913;-1,50467515
-22,08499913;-1,12819874
-22,07999913;-0,37586120
-22,07499913;0,00000000
-22,06999913;-0,37586120
-22,06499913;0,00000000
-22,05999913;-0,56409937
-22,05499913;-0,37586120
-22,04999913;-1,12819874
-22,04499913;-0,37586120
-22,03999913;-2,63348913
-22,03499913;-2,63348913
-22,02999913;-4,13816404
-22,02499913;-4,13816404
-22,01999913;-4,89050150
-22,01499913;-4,70226383
-22,00999913;-6,01931572
-22,00499913;-5,45460081
-21,99999913;-5,07874012
-21,99499913;-4,89050150
-21,98999913;-4,89050150
-21,98499913;-4,13816404
-21,97999913;-3,38582659
-21,97499913;-3,00935030
-21,96999913;-3,00935030
-21,96499913;-2,06877446
-21,95999913;-2,06877446
-21,95499913;-1,12819874
-21,94999913;-1,88053632
-21,94499913;-1,31643701
-21,93999913;-2,06877446
-21,93499913;-2,06877446
-21,92999913;-3,19758844
-21,92499913;-2,63348913
-21,91999913;-4,13816404
-21,91499913;-4,13816404
-21,90999913;-4,89050150
-21,90499913;-4,51402521
-21,89999913;-5,64283943
-21,89499913;-4,89050150
-21,88999913;-5,07874012
-21,88499913;-4,70226383
-21,87999913;-4,51402521
-21,87499913;-3,57344961
-21,86999913;-4,51402521
-21,86499913;-3,00935030
-21,85999913;-3,19758844
-21,85499913;-2,63348913
-21,84999913;-1,88053632
-21,84499913;-1,12819874
-21,83999913;-1,69291329
-21,83499913;-1,31643701
-21,82999913;-1,50467515
-21,82499913;-2,06877446
-21,81999913;-1,69291329
-21,81499913;-2,44525075
-21,80999913;-2,25701261
-21,80499913;-2,63348913
-21,79999913;-2,82111216
-21,79499913;-3,57344961
-21,78999913;-3,76168776
-21,78499913;-3,00935030
-21,77999913;-3,38582659
-21,77499913;-3,19758844
-21,76999913;-2,63348913
-21,76499913;-2,06877446
-21,75999913;-1,88053632
-21,75499913;-0,93996060
-21,74999913;-0,75233757
-21,74499913;-0,18762302
-21,73999913;-1,12819874
-21,73499913;0,00000000
-21,72999913;-0,18762302
-21,72499913;0,00000000
-21,71999913;-0,56409937
-21,71499913;0,00000000
-21,70999914;-0,18762302
-21,70499914;-1,12819874
-21,69999914;-0,75233757
-21,69499914;-1,69291329
-21,68999914;-1,88053632
-21,68499914;-0,56409937
-21,67999914;-2,25701261
-21,67499914;-3,00935030
-21,66999914;-3,19758844
-21,66499914;-3,00935030
-21,65999914;-3,00935030
-21,65499914;-3,00935030
-21,64999914;-3,57344961
-21,64499914;-2,82111216
-21,63999914;-2,63348913
-21,63499914;-2,06877446
-21,62999914;-1,12819874
-21,62499914;-1,50467515
-21,61999914;-1,12819874
-21,61499914;-1,31643701
-21,60999914;-1,12819874
-21,60499914;-1,12819874
-21,59999914;-0,37586120
-21,59499914;-1,31643701
-21,58999914;-1,12819874
-21,58499914;-1,31643701
-21,57999914;-1,12819874
-21,57499914;-1,31643701
-21,56999914;-1,69291329
-21,56499914;-1,12819874
-21,55999914;-2,25701261
-21,55499914;-1,12819874
-21,54999914;-1,50467515
-21,54499914;-1,12819874
-21,53999914;-1,12819874
-21,53499914;-0,75233757
-21,52999914;0,00000000
-21,52499914;0,75233757
-21,51999914;0,75233757
-21,51499914;0,93996060
-21,50999914;0,56409937
-21,50499914;1,88053632
-21,49999914;2,06877446
-21,49499914;2,25701261
-21,48999914;1,69291329
-21,48499914;2,44525075
-21,47999914;2,44525075
-21,47499914;3,00935030
-21,46999914;2,25701261
-21,46499914;2,44525075
-21,45999914;2,25701261
-21,45499914;3,19758844
-21,44999914;3,76168776
-21,44499914;3,00935030
-21,43999914;2,82111216
-21,43499914;2,82111216
-21,42999914;3,00935030
